date;cycle_formation;annee_volee;phase;participants;journee;nombre_participants;niveau;critere;activite;rcnum;pernum;score
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;Formateurs;Qualité perçue des méthodes pédagogiques;Général;Non concerné;Non concerné;76
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;Formateurs;Perception de l'implication de l'équipe de formation;Général;Non concerné;Non concerné;87
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;1;Intérêt perçu pour les ressources;Orchestration;Non concerné;Non concerné;67
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;1;Intérêt perçu pour les ressources;Scratch;Non concerné;Non concerné;70
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;1;Intérêt perçu pour les ressources;Usages, médias et société;Non concerné;Non concerné;74
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;1;Auto-efficacité vis-à-vis des ressources;Orchestration;Non concerné;Non concerné;64
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;1;Auto-efficacité vis-à-vis des ressources;Scratch;Non concerné;Non concerné;55
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;1;Auto-efficacité vis-à-vis des ressources;Usages, médias et société;Non concerné;Non concerné;72
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;1;Intention d’utiliser les ressources;Orchestration;Non concerné;Non concerné;58
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;1;Intention d’utiliser les ressources;Scratch;Non concerné;Non concerné;50
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;1;Intention d’utiliser les ressources;Usages, médias et société;Non concerné;Non concerné;71
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;3;Manque de ressources matérielles;Général;Non concerné;Non concerné;66
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;3;Manque de ressources temporelles;Général;Non concerné;Non concerné;73
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;3;Manque de soutien technique et/ou pédagogique;Général;Non concerné;Non concerné;70
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;3;Trop de travail;Encodage pixels;Non concerné;Non concerné;10
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;3;Trop de travail;Algorithmes de tri de poids;Non concerné;Non concerné;9
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;3;Trop de travail;Le robot peintre;Non concerné;Non concerné;11
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;3;Trop de travail;Pages pour préparer ma classe;Non concerné;Non concerné;9
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;3;Trop de travail;Pages avec mes élèves;Non concerné;Non concerné;14
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;3;Trop de travail;Recherche internet en classe : droits et sources;Non concerné;Non concerné;6
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;3;Trop de travail;Général;Non concerné;Non concerné;6
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;4;Utilisation des ressources de formation;Encodage pixels;Non concerné;Non concerné;4
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;4;Utilisation des ressources de formation;Algorithmes de tri de poids;Non concerné;Non concerné;5
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;4;Utilisation des ressources de formation;Le robot peintre avec les blocs de programmation;Non concerné;Non concerné;4
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;4;Utilisation des ressources de formation;Pages pour préparer ma classe;Non concerné;Non concerné;35
11/10/2021;Cycle 2;Non concerné;Pilote;Enseignants;2;211;4;Utilisation des ressources de formation;Pages avec mes élèves;Non concerné;Non concerné;43
