"date";"cycle_formation";"annee_volee";"phase";"participants";"journee";"nombre_participants";"niveau";"critere";"activite";"rcnum";"pernum";"score";"url_details"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"Formateurs";"Qualité perçue des méthodes pédagogiques";"Général";"Non concerné";"Non concerné";"76";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"Formateurs";"Perception de l'implication de l'équipe de formation";"Général";"Non concerné";"Non concerné";"87";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intérêt perçu pour les ressources";"Orchestration";"Non concerné";"Non concerné";"67";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intérêt perçu pour les ressources";"Scratch";"Non concerné";"Non concerné";"70";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intérêt perçu pour les ressources";"Usages, médias et société";"Non concerné";"Non concerné";"74";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Sentiment d'auto-efficacité dans la réalisation de l'activité";"Orchestration";"Non concerné";"Non concerné";"64";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Sentiment d'auto-efficacité dans la réalisation de l'activité";"Scratch";"Non concerné";"Non concerné";"55";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Sentiment d'auto-efficacité dans la réalisation de l'activité";"Usages, médias et société";"Non concerné";"Non concerné";"72";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intention d’utiliser les ressources";"Orchestration";"Non concerné";"Non concerné";"58";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intention d’utiliser les ressources";"Scratch";"Non concerné";"Non concerné";"50";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intention d’utiliser les ressources";"Usages, médias et société";"Non concerné";"Non concerné";"71";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"3";"Ressources matérielles";"Général";"Non concerné";"Non concerné";"44";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"3";"Ressources temporelles";"Général";"Non concerné";"Non concerné";"27";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"3";"Soutien technique et/ou pédagogique";"Général";"Non concerné";"Non concerné";"30";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"3";"Trop de travail";"Encodage pixels";"Non concerné";"Non concerné";"10";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"3";"Trop de travail";"Algorithmes de tri de poids";"Non concerné";"Non concerné";"9";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
"11/10/2021";"C2b (7-8P)";"Non concerné";"Pilote";"Enseignants";"2";"211";"3";"Trop de travail";"Le robot peintre";"Non concerné";"Non concerné";"11";"https://drive.google.com/file/d/1HZ5obPNsp0R9EM5TrbFgJdToyJC32j3W/view?usp=sharing"
